Depth,Estimator,Alpha,var,abs,mse,mae,r2
6,1,0,0.0231542522,0.5698795006,0.6920959461,0.4852426052,0.0060756987
6,1,0.25,0.0234596156,0.5698163587,0.6918554899,0.4852084816,0.0064210196
6,1,0.5,0.0231888298,0.5699133051,0.6920564437,0.4855499566,0.0061324284
6,1,0.75,0.0232065342,0.5699465052,0.6920463686,0.4852818251,0.0061468974
6,1,1,0.0229493737,0.5700085951,0.6922057252,0.4855671227,0.005918044
6,100,0,0.5091623354,0.3800072171,0.341803869,0.2266567554,0.5091328397
6,100,0.25,0.5072160342,0.3802998083,0.3431744425,0.2241439584,0.5071645486
6,100,0.5,0.5080730514,0.380435824,0.3425640344,0.22633379,0.5080411604
6,100,0.75,0.5072848458,0.3799376284,0.3431237403,0.2259895439,0.5072373625
6,100,1,0.50733194,0.3793556261,0.3431033286,0.2247524882,0.5072666759
6,200,0,0.563978216,0.3557328492,0.3036153901,0.2129855155,0.5639756074
6,200,0.25,0.5638598079,0.3556022764,0.3036961474,0.2130773456,0.5638596313
6,200,0.5,0.563393564,0.3555152508,0.3040215871,0.2128692085,0.5633922649
6,200,0.75,0.5644303509,0.3549512407,0.3032990178,0.2122844055,0.5644299522
6,200,1,0.5633325635,0.3552245145,0.3040635716,0.2115805403,0.5633319706
6,300,0,0.5962505519,0.3429803799,0.2811418174,0.2064139973,0.5962500777
6,300,0.25,0.5955654992,0.3430403395,0.2816206687,0.2060494471,0.5955623958
6,300,0.5,0.5947415769,0.3434781717,0.2821947918,0.205818049,0.5947378931
6,300,0.75,0.5992349031,0.341543265,0.2790640464,0.2040308992,0.5992339807
6,300,1,0.5942983674,0.3423919333,0.2825008454,0.2037087679,0.5942983672
6,400,0,0.6003330815,0.3416240772,0.2782989865,0.2041720204,0.600332689
6,400,0.25,0.6234727057,0.3312503012,0.2621862502,0.1982627958,0.6234723133
6,400,0.5,0.618733864,0.3330714422,0.265492771,0.1992980082,0.6187237934
6,400,0.75,0.6246251158,0.3311076967,0.2613837966,0.1984105094,0.6246247231
6,400,1,0.6229694448,0.3311776643,0.2625418559,0.1984280435,0.6229616253
6,500,0,0.5895154233,0.3460572555,0.2858316384,0.2079182359,0.5895149898
6,500,0.25,0.6284377812,0.3296998733,0.2587292731,0.1983087419,0.6284369046
6,500,0.5,0.6209802764,0.3329949599,0.2639242717,0.1993335783,0.6209763273
6,500,0.75,0.6259489827,0.3297293917,0.260462027,0.1967123095,0.6259484835
6,500,1,0.6425857612,0.3224601326,0.2488770485,0.1936233521,0.64258576
6,600,0,0.595159998,0.3427267291,0.2819031899,0.2044609594,0.5951566648
6,600,0.25,0.6161678999,0.3350169092,0.2672734875,0.2013187621,0.6161664928
6,600,0.5,0.6301703218,0.3294938784,0.2575231253,0.1998917162,0.6301690628
6,600,0.75,0.6078806788,0.337663898,0.2730437871,0.2014976457,0.6078797212
6,600,1,0.6393827811,0.3247099721,0.2511073736,0.1952406225,0.6393827731
6,700,0,0.651350391,0.3192292369,0.2427796185,0.1905107041,0.6513423261
6,700,0.25,0.6508610437,0.3192657404,0.2431156788,0.1925840193,0.6508597073
6,700,0.5,0.6143128864,0.33501489,0.2685643451,0.2005694687,0.6143126822
6,700,0.75,0.6668824787,0.3115421065,0.2319589227,0.1876960521,0.6668820104
6,700,1,0.6490040736,0.3197245344,0.2444083396,0.1910085311,0.6490033072
6,800,0,0.6002549209,0.3417047239,0.2783532506,0.2054442386,0.60025476
6,800,0.25,0.6335235379,0.326814324,0.2551895866,0.1951731801,0.6335202756
6,800,0.5,0.5886941372,0.345748798,0.286403923,0.2070477988,0.5886931275
6,800,0.75,0.6209430047,0.3327810283,0.2639484899,0.1998255742,0.6209415474
6,800,1,0.6505969334,0.3188485118,0.2432995776,0.1916847172,0.6505956088
6,900,0,0.6065446471,0.3387869967,0.2739770645,0.2022516024,0.6065394345
6,900,0.25,0.6130083137,0.3358092363,0.2694726371,0.2008776325,0.6130082772
6,900,0.5,0.6567044375,0.3164896467,0.2390476869,0.1903595254,0.6567017817
6,900,0.75,0.5693643113,0.3533489329,0.2998644184,0.211167844,0.5693624068
6,900,1,0.6424367023,0.3236662474,0.2489857176,0.1936271934,0.6424296996
6,1000,0,0.6106351015,0.3374929541,0.2711260039,0.2024358207,0.6106338644
6,1000,0.25,0.621483389,0.3326198385,0.2635712759,0.2008610995,0.6214832672
6,1000,0.5,0.6387590594,0.3240834933,0.25154341,0.1934359773,0.6387565778
6,1000,0.75,0.6275000619,0.3291980834,0.2593826552,0.1976472618,0.6274985776
6,1000,1,0.6487316304,0.320050399,0.2445976263,0.1920412858,0.6487314711
8,1,0,0.0254950419,0.5691618977,0.690481524,0.4852333665,0.0083941827
8,1,0.25,0.025834954,0.5691011033,0.6902280941,0.4852561355,0.0087581353
8,1,0.5,0.0258855501,0.5689759774,0.6902084254,0.4852234125,0.0087863817
8,1,0.75,0.0256863889,0.5691485251,0.6903202959,0.4852261841,0.0086257235
8,1,1,0.0254685703,0.569161527,0.6904904797,0.4852606952,0.0083813213
8,100,0,0.6062789162,0.3402707973,0.2742079572,0.2034817264,0.6062078476
8,100,0.25,0.6076951996,0.3393429776,0.273192962,0.2024332843,0.60766549
8,100,0.5,0.6042695392,0.3403922295,0.2755965996,0.2028075915,0.6042136076
8,100,0.75,0.6053549698,0.3394081833,0.2748373887,0.2020418197,0.6053039162
8,100,1,0.6052189944,0.3398800245,0.2749212669,0.202184147,0.605183458
8,200,0,0.6815659789,0.3036753191,0.2217365945,0.1844760246,0.6815623744
8,200,0.25,0.6816332385,0.3029609531,0.2216872886,0.1845938433,0.681633183
8,200,0.5,0.6757691935,0.3045376994,0.2257763018,0.1829621305,0.6757609197
8,200,0.75,0.6823269099,0.3020220065,0.221204559,0.1826042856,0.6823264347
8,200,1,0.6752931085,0.3043877782,0.2261023337,0.1830381989,0.6752927029
8,300,0,0.7170248099,0.285569305,0.1970431618,0.1750757758,0.7170248026
8,300,0.25,0.7203358125,0.2844111292,0.1947378269,0.1742853689,0.7203355117
8,300,0.5,0.7133594725,0.2856779989,0.1995966602,0.1740065466,0.7133577041
8,300,0.75,0.7167257337,0.2831585823,0.1972591836,0.1706127465,0.7167145721
8,300,1,0.7213662877,0.2811877549,0.1940238768,0.1705295922,0.721360821
8,400,0,0.7256568366,0.2808854425,0.1910343784,0.1718015781,0.7256540626
8,400,0.25,0.7422920062,0.2707826611,0.1794490863,0.1630374624,0.7422917895
8,400,0.5,0.7423325732,0.2687320777,0.1794222322,0.1626802294,0.7423303549
8,400,0.75,0.7452464404,0.2683335462,0.1773924441,0.1618408289,0.7452453492
8,400,1,0.7485099558,0.2657307818,0.1751193014,0.1604784162,0.7485098269
