Depth,Estimator,Alpha,var,abs,mse,mae,r2
6,1,0,0.0227216393,0.5703836073,0.6983076486,0.4852426052,0.005863036
6,1,0.25,0.0229810854,0.5634047579,0.6758766973,0.4852084816,0.0062289433
6,1,0.5,0.0226119168,0.5680322976,0.6852303038,0.4855499566,0.0069753127
6,1,0.75,0.022997439,0.5673818863,0.6805636719,0.4852818251,0.0060141346
6,1,1,0.0230057376,0.563733509,0.6638706678,0.4855671227,0.0088286746
6,100,0,0.4463166696,0.3911573844,0.3750523429,0.2270564403,0.4463161835
6,100,0.25,0.4534385956,0.4015089595,0.3829631937,0.2333897895,0.4533604289
6,100,0.5,0.4650776535,0.3950592091,0.3730455634,0.2324402145,0.4650766109
6,100,0.75,0.4579340863,0.3951679725,0.3745266239,0.2333531904,0.4578938099
6,100,1,0.4506590644,0.3964439351,0.380518358,0.2302360217,0.4505167642
6,200,0,0.4831774831,0.3825115704,0.3603631896,0.2235470586,0.4831412702
6,200,0.25,0.4753157117,0.3878516479,0.3669113622,0.22744025,0.4753154404
6,200,0.5,0.4835513292,0.3843159368,0.3644792556,0.22450698,0.4835452754
6,200,0.75,0.4849054796,0.3813568034,0.355655206,0.2225305568,0.4849051798
6,200,1,0.4765486578,0.3850955601,0.3621152043,0.2249204409,0.4765461965
6,300,0,0.4860204898,0.3829328706,0.3602981513,0.2238372388,0.4860166995
6,300,0.25,0.4805348055,0.3783934787,0.3513722211,0.2208336945,0.4804419971
6,300,0.5,0.47221062,0.3790631187,0.3552137911,0.2177942301,0.4720935241
6,300,0.75,0.4767230425,0.3774066109,0.3518243007,0.2166467496,0.4766852371
6,300,1,0.4733115771,0.3837375432,0.3645894434,0.2223255541,0.4733069284
6,400,0,0.4808129944,0.3826016693,0.3607871694,0.2185830973,0.4808075361
6,400,0.25,0.4758375783,0.3828760355,0.3652325419,0.2178032155,0.4758336725
6,400,0.5,0.4879859583,0.3828581792,0.3601809649,0.2204904159,0.487762429
6,400,0.75,0.4864752378,0.3767748814,0.348880374,0.2134405114,0.4864693312
6,400,1,0.4983883085,0.3758657821,0.3528798604,0.2134093876,0.4982280423
6,500,0,0.4788820508,0.3835671889,0.3593616027,0.221295778,0.4788607051
6,500,0.25,0.4835132905,0.3789186234,0.3554719556,0.2177273633,0.4834853395
6,500,0.5,0.4927256653,0.3736731291,0.3415804277,0.2143475629,0.4926201457
6,500,0.75,0.4947566227,0.3769516454,0.3548696346,0.2118194548,0.494750522
6,500,1,0.4994874339,0.3827236868,0.3602604724,0.221009716,0.4994862505
6,600,0,0.4766845841,0.3918114048,0.3833667791,0.2236838971,0.4766198343
6,600,0.25,0.4989215659,0.3791716826,0.3523551212,0.2166441705,0.4988994864
6,600,0.5,0.4835428367,0.3761946919,0.3512201803,0.2144222227,0.4834943547
6,600,0.75,0.4937216291,0.3796214465,0.3565136207,0.2163894257,0.4937051075
6,600,1,0.5023223888,0.3779587753,0.3499488088,0.2160637378,0.5023204021
6,700,0,0.4844994154,0.3856905292,0.3704237987,0.2147884648,0.4843301305
6,700,0.25,0.4823904431,0.3830209841,0.363367605,0.2177028979,0.4823532577
6,700,0.5,0.4919331606,0.3828908789,0.3585050483,0.2201173312,0.4919327343
6,700,0.75,0.4887556368,0.3787006705,0.3557029017,0.2094149958,0.4887410176
6,700,1,0.494749113,0.3797975376,0.3520222222,0.2176417206,0.4947309689
6,800,0,0.4847929251,0.3820000843,0.3600772861,0.222728014,0.4847827389
6,800,0.25,0.4899120047,0.3748105056,0.3537760522,0.2099058534,0.4898520419
6,800,0.5,0.4741207599,0.3800823779,0.3556823166,0.2187324281,0.4740784377
6,800,0.75,0.4853591958,0.3786250551,0.3533799913,0.2178034962,0.4853113696
6,800,1,0.4963519922,0.3762752335,0.3559362268,0.2091447975,0.49632615
6,900,0,0.4995858087,0.375093946,0.3480579945,0.2127842625,0.4994686367
6,900,0.25,0.4908049636,0.377936293,0.3563478152,0.2121459968,0.4908037484
6,900,0.5,0.5129094951,0.3718371898,0.3473007401,0.2062193988,0.5128520686
6,900,0.75,0.4690868686,0.3814704779,0.3525529255,0.2219304143,0.4690129525
6,900,1,0.4925946935,0.3690404035,0.3335514797,0.2128246984,0.4923843794
6,1000,0,0.4726838497,0.3806433855,0.358033886,0.2139966875,0.4726513985
6,1000,0.25,0.4960746099,0.3848598326,0.3602176285,0.2228762769,0.4960737907
6,1000,0.5,0.4834544388,0.3853695726,0.36865268,0.2179919091,0.4833978856
6,1000,0.75,0.4893866111,0.3794064063,0.3553281074,0.2142022369,0.4893611761
6,1000,1,0.489735276,0.3805870321,0.351596337,0.2189078342,0.4897266037
8,1,0,0.0235658334,0.5814733255,0.7269989064,0.4852333665,0.0039973459
8,1,0.25,0.0246011243,0.5764427271,0.7130918582,0.4852561355,0.0040948046
8,1,0.5,0.0240730979,0.5787873973,0.7275257839,0.4852234125,0.0048038043
8,1,0.75,0.0236037229,0.5572460154,0.6600166909,0.4852261841,0.0091869552
8,1,1,0.0244502048,0.5719485464,0.7016350113,0.4852606952,0.0055107148
8,100,0,0.4831273733,0.3875494861,0.3688066846,0.2237324474,0.4830063327
8,100,0.25,0.4873466719,0.382493858,0.3564695244,0.2215474895,0.4873165683
8,100,0.5,0.473507199,0.3888418729,0.3695734569,0.2249419765,0.4734850473
8,100,0.75,0.4663782311,0.3839605573,0.3625440026,0.2190681043,0.4663694037
8,100,1,0.4769598085,0.3810239388,0.3533104952,0.2202239733,0.4769399686
8,200,0,0.4930693294,0.3734937623,0.3476619433,0.2092170188,0.4930279708
8,200,0.25,0.4970384816,0.3676261165,0.3419783896,0.2066503495,0.4970109169
8,200,0.5,0.488637946,0.3803612137,0.3656302354,0.2128269888,0.488522251
