Depth,Estimator,Alpha,var,abs,mse,mae,r2
6,1,0,0.0232635709,0.5697534739,0.6905430204,0.4852426052,0.0061294017
6,1,0.25,0.0235762546,0.5714192589,0.6958501881,0.4852084816,0.0064659596
6,1,0.5,0.0233310557,0.570383557,0.6937629787,0.4855499566,0.0059118094
6,1,0.75,0.0232576336,0.5705876599,0.6949170427,0.4852818251,0.0061787005
6,1,1,0.0229369374,0.5715773666,0.6992894896,0.4855671227,0.0051663394
6,100,0,0.5243424689,0.3772196753,0.3334917506,0.2265051965,0.5242943443
6,100,0.25,0.5207562804,0.3749975204,0.3332272547,0.2222010772,0.5207106184
6,100,0.5,0.5188451507,0.3767799777,0.3349436522,0.2247143971,0.5187988445
6,100,0.75,0.5195010225,0.3761300424,0.3352730194,0.2238589261,0.5194516539
6,100,1,0.5214059506,0.3750835489,0.3337495712,0.2232412382,0.5213552653
6,200,0,0.58421408,0.3490381688,0.2894284403,0.210626427,0.5842138163
6,200,0.25,0.5860993869,0.3475399335,0.2878923437,0.209966061,0.5860989564
6,200,0.5,0.583691619,0.3483150793,0.2889071699,0.2099741084,0.583690968
6,200,0.75,0.5841027938,0.3483498501,0.2902099707,0.2102132392,0.5841023683
6,200,1,0.5848518036,0.3477567531,0.2895506634,0.2090963321,0.5848514775
6,300,0,0.624038848,0.3329922573,0.2613527339,0.2024552009,0.6240387091
6,300,0.25,0.6233067146,0.3342020547,0.2641827805,0.2029173242,0.6233066854
6,300,0.5,0.6241007669,0.334581935,0.263940042,0.2031590442,0.6241006998
6,300,0.75,0.6285527028,0.3325774286,0.2608739828,0.2011720616,0.6285526076
6,300,1,0.6243229648,0.3320555308,0.2619786959,0.1991894034,0.6243226562
6,400,0,0.6301337337,0.3313796791,0.2576769408,0.2010529333,0.6301336939
6,400,0.25,0.6604100913,0.3183438677,0.2364246773,0.1938378786,0.6604100078
6,400,0.5,0.6518571498,0.3206247579,0.2418207226,0.1943864767,0.6518571053
6,400,0.75,0.6581183178,0.3196909005,0.2395096522,0.1950068808,0.6581182845
6,400,1,0.6545296262,0.3200056348,0.2399573547,0.1947884685,0.6545295268
6,500,0,0.6168436502,0.3366797721,0.2674491473,0.2047111094,0.6168435439
6,500,0.25,0.664147813,0.3173951857,0.2345436025,0.1939592426,0.6641477924
6,500,0.5,0.6517368264,0.3228254176,0.2445102327,0.196248508,0.6517368247
